# KW court codes. Source: annex 1 to Dz.U. 2016 poz. 312 as replaced by Dz.U. 2026 poz. 740 (in force 2026-07-01),
# plus historical codes from earlier annex versions. Columns: code<TAB>last_valid_on (empty = current)<TAB>name
KR1B		Sąd Rejonowy w Suchej Beskidzkiej
KR1C		Sąd Rejonowy w Chrzanowie
KR1E		Sąd Rejonowy w Oświęcimiu
KR1H		Sąd Rejonowy dla Krakowa-Nowej Huty w Krakowie – wydział zamiejscowy z siedzibą w Proszowicach
KR1I		Sąd Rejonowy w Wieliczce
KR1K		Sąd Rejonowy dla Krakowa-Krowodrzy w Krakowie – wydział zamiejscowy z siedzibą w Czernichowie
KR1M		Sąd Rejonowy w Miechowie
KR1O		Sąd Rejonowy w Olkuszu
KR1P		Sąd Rejonowy dla Krakowa-Podgórza w Krakowie
KR1S		Sąd Rejonowy w Miechowie – wydział zamiejscowy z siedzibą w Słomnikach
KR1W		Sąd Rejonowy w Wadowicach
KR1Y		Sąd Rejonowy w Myślenicach
KR2E		Sąd Rejonowy w Oświęcimiu – wydział zamiejscowy z siedzibą w Kętach
KR2I	2026-06-30	Sąd Rejonowy w Wieliczce – wydział zamiejscowy z siedzibą w Niepołomicach
KR2K		Sąd Rejonowy dla Krakowa-Krowodrzy w Krakowie – wydział zamiejscowy z siedzibą w Krzeszowicach
KR2P		Sąd Rejonowy dla Krakowa-Podgórza w Krakowie – wydział zamiejscowy z siedzibą w Skale
KR2Y		Sąd Rejonowy w Myślenicach – wydział zamiejscowy z siedzibą w Dobczycach
KR3I	2026-06-30	Sąd Rejonowy w Wieliczce – wydział zamiejscowy z siedzibą w Skawinie
KS1B		Sąd Rejonowy w Brzozowie
KS1E		Sąd Rejonowy w Lesku
KS1J		Sąd Rejonowy w Jaśle
KS1K		Sąd Rejonowy w Krośnie
KS1S		Sąd Rejonowy w Sanoku
KS2E		Sąd Rejonowy w Lesku – wydział zamiejscowy z siedzibą w Ustrzykach Dolnych
KZ1A		Sąd Rejonowy w Kaliszu
KZ1E		Sąd Rejonowy w Kępnie
KZ1J		Sąd Rejonowy w Jarocinie
KZ1O		Sąd Rejonowy w Ostrzeszowie
KZ1P		Sąd Rejonowy w Pleszewie
KZ1R		Sąd Rejonowy w Krotoszynie
KZ1W		Sąd Rejonowy w Ostrowie Wielkopolskim
LD1B		Sąd Rejonowy w Brzezinach
LD1G		Sąd Rejonowy w Zgierzu
LD1H		Sąd Rejonowy w Skierniewicach
LD1K		Sąd Rejonowy w Kutnie
LD1M		Sąd Rejonowy dla Łodzi-Śródmieścia w Łodzi
LD1O		Sąd Rejonowy w Łowiczu
LD1P		Sąd Rejonowy w Pabianicach
LD1R		Sąd Rejonowy w Rawie Mazowieckiej
LD1Y		Sąd Rejonowy w Łęczycy
LE1G		Sąd Rejonowy w Głogowie
LE1J		Sąd Rejonowy w Jaworze
LE1L		Sąd Rejonowy w Legnicy
LE1U		Sąd Rejonowy w Lubinie
LE1Z		Sąd Rejonowy w Złotoryi
LM1G		Sąd Rejonowy w Grajewie
LM1L		Sąd Rejonowy w Łomży
LM1W		Sąd Rejonowy w Wysokiem Mazowieckiem
LM1Z		Sąd Rejonowy w Zambrowie
LU1A		Sąd Rejonowy w Lubartowie
LU1B		Sąd Rejonowy w Białej Podlaskiej
LU1C		Sąd Rejonowy w Chełmie
LU1I		Sąd Rejonowy Lublin-Zachód w Lublinie
LU1K		Sąd Rejonowy w Kraśniku
LU1O		Sąd Rejonowy w Opolu Lubelskim
LU1P		Sąd Rejonowy w Puławach
LU1R		Sąd Rejonowy w Radzyniu Podlaskim
LU1S		Sąd Rejonowy Lublin-Wschód w Lublinie z siedzibą w Świdniku
LU1U		Sąd Rejonowy w Łukowie
LU1W		Sąd Rejonowy we Włodawie
LU1Y		Sąd Rejonowy w Rykach
NS1G		Sąd Rejonowy w Gorlicach
NS1L		Sąd Rejonowy w Limanowej
NS1M		Sąd Rejonowy w Nowym Sączu – wydział zamiejscowy z siedzibą w Muszynie
NS1S		Sąd Rejonowy w Nowym Sączu
NS1T		Sąd Rejonowy w Nowym Targu
NS1Z		Sąd Rejonowy w Zakopanem
NS2L		Sąd Rejonowy w Limanowej – wydział zamiejscowy z siedzibą w Mszanie Dolnej
OL1B		Sąd Rejonowy w Biskupcu
OL1C		Sąd Rejonowy w Olecku
OL1E		Sąd Rejonowy w Ełku
OL1G		Sąd Rejonowy w Giżycku
OL1K		Sąd Rejonowy w Kętrzynie
OL1L		Sąd Rejonowy w Lidzbarku Warmińskim
OL1M		Sąd Rejonowy w Mrągowie
OL1N		Sąd Rejonowy w Nidzicy
OL1O		Sąd Rejonowy w Olsztynie
OL1P		Sąd Rejonowy w Piszu
OL1S		Sąd Rejonowy w Szczytnie
OL1Y		Sąd Rejonowy w Bartoszycach
OL2G		Sąd Rejonowy w Giżycku – wydział zamiejscowy z siedzibą w Węgorzewie
OP1B		Sąd Rejonowy w Brzegu
OP1G		Sąd Rejonowy w Głubczycach
OP1K		Sąd Rejonowy w Kędzierzynie-Koźlu
OP1L		Sąd Rejonowy w Oleśnie
OP1N		Sąd Rejonowy w Nysie
OP1O		Sąd Rejonowy w Opolu
OP1P		Sąd Rejonowy w Prudniku
OP1S		Sąd Rejonowy w Strzelcach Opolskich
OP1U		Sąd Rejonowy w Kluczborku
OS1M		Sąd Rejonowy w Ostrowi Mazowieckiej
OS1O		Sąd Rejonowy w Ostrołęce
OS1P		Sąd Rejonowy w Przasnyszu
OS1U		Sąd Rejonowy w Pułtusku
OS1W		Sąd Rejonowy w Wyszkowie
PL1C		Sąd Rejonowy w Ciechanowie
PL1E		Sąd Rejonowy w Sierpcu
PL1G		Sąd Rejonowy w Gostyninie
PL1L		Sąd Rejonowy w Płońsku
PL1M		Sąd Rejonowy w Mławie
PL1O		Sąd Rejonowy w Sochaczewie
PL1P		Sąd Rejonowy w Płocku
PL1Z		Sąd Rejonowy w Żyrardowie
PL2M		Sąd Rejonowy w Mławie – wydział zamiejscowy z siedzibą w Żurominie
PO1A		Sąd Rejonowy w Szamotułach
PO1B		Sąd Rejonowy w Wągrowcu
PO1D		Sąd Rejonowy w Środzie Wielkopolskiej
PO1E		Sąd Rejonowy w Wolsztynie
PO1F		Sąd Rejonowy we Wrześni
PO1G		Sąd Rejonowy w Gnieźnie
PO1H		Sąd Rejonowy w Chodzieży
PO1I		Sąd Rejonowy w Pile
PO1K		Sąd Rejonowy w Kościanie
PO1L		Sąd Rejonowy w Lesznie
PO1M		Sąd Rejonowy w Śremie
PO1N		Sąd Rejonowy w Nowym Tomyślu
PO1O		Sąd Rejonowy w Obornikach
PO1P		Sąd Rejonowy Poznań-Stare Miasto w Poznaniu – dla części miasta Poznania w granicach ustalonych tradycyjnie dla dzielnic: Grunwald, Jeżyce i Stare Miasto oraz gmin: Czerwonak, Dopiewo, Murowana Goślina, Suchy Las i Tarnowo Podgórne
PO1R		Sąd Rejonowy w Rawiczu
PO1S		Sąd Rejonowy w Grodzisku Wielkopolskim
PO1T		Sąd Rejonowy w Trzciance
PO1Y		Sąd Rejonowy w Gostyniu
PO1Z		Sąd Rejonowy w Złotowie
PO2A		Sąd Rejonowy w Szamotułach – wydział zamiejscowy z siedzibą w Międzychodzie
